name,suburb,rating,review_count,price_level,cuisine,website,seifa_score,region,population,weekend_status,target_audience,price_score
The Erko Hotel,Erskineville,4.2,1578,$$,"bar, liquor_store, lodging, store",https://www.theerko.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=The_Erko_Hotel_-_Erskineville&utm_term=plcid_2997277686877080949,1185,Inner West,9657,Weekend friendly,General locals,2
The Imperial Erskineville,Erskineville,4.2,1596,$$,"bar, night_club",https://imperialerskineville.com.au/,1185,Inner West,9657,Weekend friendly,General locals,2
Foodcraft Erskineville,Erskineville,4.6,640,$$,"cafe, store",https://www.foodcrafterskineville.com/,1185,Inner West,9657,Weekend friendly,General locals,2
The Potting Shed at The Grounds,Erskineville,4.3,2809,$$,,https://thegrounds.com.au/dine-in/the-potting-shed,1185,Inner West,9657,Weekend friendly,Tourist friendly,2
Naked Brew,Erskineville,4.5,463,$$,"cafe, store",https://www.nakedbrew.com.au/,1185,Inner West,9657,Weekend friendly,General locals,2
BETTO deli & cucina,Erskineville,4.8,213,unknown,"bar, grocery_or_supermarket, store",https://www.bettodeli.com.au/,1185,Inner West,9657,Weekend friendly,General locals,
The Hive Bar,Erskineville,4.6,517,$$,bar,http://www.thehivebar.com.au/,1185,Inner West,9657,Weekend friendly,General locals,2
No Names Italian Restaurant,Erskineville,4.1,222,unknown,,http://www.nonamesrestaurant.com.au/,1185,Inner West,9657,Weekend friendly,General locals,
Priscillas,Erskineville,4.6,37,$$,,,1185,Inner West,9657,Weekend friendly,General locals,2
Shenkin Erskineville,Erskineville,4.4,651,$$,"cafe, store",http://www.shenkin.com.au/,1185,Inner West,9657,Weekend friendly,General locals,2
Pizza Bros,Erskineville,4.5,1272,unknown,,https://www.instagram.com/pizzabrosau,1185,Inner West,9657,Weekend friendly,General locals,
Cuzzy's Kebab,Erskineville,4.9,393,$,,https://www.cuzzyskebab.com/,1185,Inner West,9657,Weekend friendly,Budget / community,1
Maggie's Thai,Erskineville,4.4,256,$$,"meal_delivery, meal_takeaway",https://www.maggiesthaierskineville.com.au/,1185,Inner West,9657,Weekend friendly,General locals,2
Tuk Tuk Thai Erskineville,Erskineville,4.3,60,unknown,,http://ttthai.square.site/,1185,Inner West,9657,Weekend friendly,General locals,
Best Gourmet Restaurant Newtown,Erskineville,4.8,3543,$,,https://bestgourmetrestaurantnewtown.website/,1185,Inner West,9657,Weekend friendly,Tourist friendly,1
Mizuki Sushi(Erskineville),Erskineville,4.3,101,unknown,,https://kpos.com.au/mizuki2,1185,Inner West,9657,Weekend friendly,General locals,
Metro Brew'In,Marrickville,4.8,245,unknown,,https://www.metrobrewin.com.au/,1087,Inner West,26570,Weekend friendly,General locals,
Titan Vietnamese Restaurant,Marrickville,4.8,239,unknown,,https://revu.website/148501,1087,Inner West,26570,Weekend friendly,General locals,
20 Chapel,Marrickville,4.7,302,unknown,,https://20chapel.com.au/,1087,Inner West,26570,Weekdays only,General locals,
Baba's Place,Marrickville,4.3,606,unknown,,http://babasplace.com.au/,1087,Inner West,26570,Weekend friendly,General locals,
Semola Sydney,Marrickville,4.7,590,unknown,,http://www.semola.com.au/,1087,Inner West,26570,Weekend friendly,General locals,
Pepito's Marrickville,Marrickville,4.5,348,unknown,bar,http://pepitos.com.au/,1087,Inner West,26570,Weekdays only,General locals,
185bar,Marrickville,4.8,87,unknown,,https://revu.website/148538/,1087,Inner West,26570,Weekend friendly,General locals,
Gyradiko Marrickville,Marrickville,4.6,324,unknown,meal_takeaway,http://gyradiko.com.au/,1087,Inner West,26570,Weekend friendly,General locals,
Hello Auntie Marrickville,Marrickville,4.4,1480,$$,,http://www.hello-auntie.com.au/,1087,Inner West,26570,Weekend friendly,General locals,2
Field and Fin,Marrickville,4.9,110,unknown,bar,http://fieldandfin.com.au/,1087,Inner West,26570,Weekdays only,General locals,
Vn Street Foods,Marrickville,4.4,2169,$,meal_takeaway,http://vnstreetfoods.com.au/,1087,Inner West,26570,Weekend friendly,Tourist friendly,1
Vietfull Vietnamese Street Foods,Marrickville,4.8,198,unknown,,https://revu.website/148323,1087,Inner West,26570,Weekend friendly,General locals,
Beirut Street Food,Marrickville,4.3,565,unknown,,https://beirutstfood.com.au/,1087,Inner West,26570,Weekend friendly,General locals,
The D's Bar & Dining,Marrickville,4.5,472,unknown,bar,http://theds.com.au/,1087,Inner West,26570,Weekend friendly,General locals,
Pho Viet Xua 1919,Marrickville,4.6,941,$$,,,1087,Inner West,26570,Weekend friendly,General locals,2
Huong Giang Marrickville,Marrickville,4.7,1186,$,,https://revu.website/148989,1087,Inner West,26570,Weekend friendly,Budget / community,1
Green Peppercorn Express,Marrickville,4.9,55,unknown,"bar, meal_takeaway",http://gpexrestaurant.com.au/,1087,Inner West,26570,Weekend friendly,General locals,
Two Chaps,Marrickville,4.4,1581,$$,"bakery, cafe, store",https://twochaps.com.au/,1087,Inner West,26570,Weekend friendly,General locals,2
Oé Oé Paellas & Tapas,Marrickville,4.6,379,unknown,,https://oeoepaellastapas.au/,1087,Inner West,26570,Weekend friendly,General locals,
Marina Lunga MARRICKVILLE,Marrickville,4.5,235,$$,,https://marinalunga.com.au/,1087,Inner West,26570,Weekend friendly,General locals,2
Esteban,CBD Sydney,4.7,1756,unknown,,https://www.estebanrestaurant.com.au/,1107,CBD,16667,Weekend friendly,General locals,
Hustlers. Syd,CBD Sydney,4.7,870,unknown,,http://www.hustlerssyd.com.au/,1107,CBD,16667,Weekdays only,General locals,
Primi Italian,CBD Sydney,4.7,3936,$$,,https://primiitalian.com.au/,1107,CBD,16667,Weekdays only,Tourist friendly,2
Bopp & Tone,CBD Sydney,4.6,1802,$$$,,http://www.boppandtone.com.au/,1107,CBD,16667,Weekdays only,General locals,3
BISTECCA,CBD Sydney,4.7,2053,$$$,bar,https://www.liquidandlarder.com.au/venues/bistecca/,1107,CBD,16667,Weekend friendly,Tourist friendly,3
Ho Jiak Town Hall - Junda's Playground (Enter from York Street),CBD Sydney,4.7,2660,$$$,bar,https://www.hojiak.com.au/townhall/,1107,CBD,16667,Weekend friendly,Tourist friendly,3
Roast Republic,CBD Sydney,4.7,1613,$$,bar,http://www.roastrepublic.com.au/,1107,CBD,16667,Weekend friendly,General locals,2
Ragazzi,CBD Sydney,4.4,2130,$$,bar,http://www.ragazziwinepasta.com/,1107,CBD,16667,Weekend friendly,Tourist friendly,2
Babylon Rooftop & Garden Bar,CBD Sydney,4.0,2119,$$$,bar,http://babylonrooftop.com.au/,1107,CBD,16667,Weekend friendly,Tourist friendly,3
Aalia Restaurant Sydney,CBD Sydney,4.7,1146,$$$,,https://www.aaliarestaurant.com/?utm_content=AALIA+Restaurant+Sydney&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_6952976032146166324,1107,CBD,16667,Weekdays only,General locals,3
Alfie's,CBD Sydney,4.5,799,unknown,,https://www.liquidandlarder.com.au/venues/alfies/,1107,CBD,16667,Weekdays only,General locals,
Mr. Wong,CBD Sydney,4.4,5624,$$$,meal_takeaway,https://merivale.com/venues/mrwong?&utm_source=googlemybusiness_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_mr.wong&utm_content=website,1107,CBD,16667,Weekend friendly,Tourist friendly,3
Palazzo Salato,CBD Sydney,4.7,1121,$$$,bar,http://palazzosalato.com/,1107,CBD,16667,Weekdays only,General locals,3
Chat Thai - Sydney,CBD Sydney,4.4,3487,$$,,https://chatthai.com/,1107,CBD,16667,Weekend friendly,Tourist friendly,2
The Grounds of The City,CBD Sydney,4.2,6141,$$,"bar, cafe",https://thegrounds.com.au/dine-in/the-city,1107,CBD,16667,Weekend friendly,Tourist friendly,2
Mappen,CBD Sydney,4.4,1334,$,,http://www.mappen.com.au/,1107,CBD,16667,Weekend friendly,Budget / community,1
Clam Bar,CBD Sydney,4.5,486,unknown,,http://www.clambarsydney.com/,1107,CBD,16667,Weekdays only,General locals,
Neptune's Grotto,CBD Sydney,4.7,399,unknown,,https://www.neptunesgrotto.com/,1107,CBD,16667,Weekend friendly,General locals,
Infinity at Sydney Tower,CBD Sydney,4.5,3865,$$$,bar,https://infinitysydneytower.com.au/,1107,CBD,16667,Weekend friendly,Tourist friendly,3
The Sambal,CBD Sydney,4.5,1142,$,,http://www.thesambalonkent.com.au/,1107,CBD,16667,Weekdays only,Budget / community,1
Elements Bar and Grill Pyrmont,Pyrmont,4.7,6358,unknown,bar,https://www.elementsbarandgrill.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-pyrmont,1128,CBD,12658,Weekend friendly,Tourist friendly,
Cucina Porto,Pyrmont,4.4,1665,unknown,,https://www.star.com.au/sydney/eat-and-drink/casual-dining/cucina-porto,1128,CBD,12658,Weekend friendly,General locals,
Eat Ozzo Pyrmont,Pyrmont,4.8,361,unknown,"cafe, meal_takeaway, store",http://www.eatozzo.com/,1128,CBD,12658,Weekend friendly,General locals,
